Document Title,Authors,Publication Title,Publication Year,Start Page,End Page,>= 4,Abstract,Abstract Level,Double-check by Tiago or Paulo,DOI,PDF Link,OBS
Educational trends in software engineering: A systematic review study,"Acosta N.D., Garcia M.B., Romero J.B., Sevillano A.L., Paez N.F., Roa O.","2019 Congreso Internacional de Innovacion y Tendencias en Ingenieria, CONIITI 2019 - Conference Proceedings",2019,,,,"Although there is an updated knowledge's body in software engineering, even so the curricular guides must be updated periodically. This article presents a systematic review study, which addresses the need to provide suggestions regarding the issues that should be emphasized in the area of software engineering in the systems and computer engineering program at the Catholic University of Colombia. 20 themes were identified, presented in 855 selected studies and which are studied in 50 articles, at a minimum. The most studied topic is related to software design (91.5%), followed by software development in (58%), testing and software quality in (55.5%), open source software in (33.5%), software architecture (23%), web technologies (22%), agile methodologies (18.5%), software project management (16%), software development processes (12%)), C C ++ programming language (11%), programming languages, object-oriented programming and graphical user interface (10%), Java programming language (9%), prototype-based software development in (8.5%), requirements, standards and computer-aided software engineering in (8%), mobile software and cloud services in a (7%). The results indicate the top 20 of the essential topics in a curriculum of the software engineering area. © 2019 IEEE.", , ,10.1109/CONIITI48476.2019.8960866,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079059591&doi=10.1109%2fCONIITI48476.2019.8960866&partnerID=40&md5=f214f39f82165f3f71ff95213c189a79, 
"Evaluating gant project, orange scrum, and ProjeQtOr open source project management tools using QSOS","Proença C.R., Bernardino J.",ICSOFT 2019 - Proceedings of the 14th International Conference on Software Technologies,2019,522,528,,"The task of managing a software project is an extremely complex job, drawing on many personal, team, and organizational resources. We realized that exist many project management tools and software being developed every day to help managers to automate the administration of individual projects or groups of projects during their life-cycle. Therefore, it is important to identify the software functionalities and compare them to the intended requirements of the company, to select which software complements the expectations. This paper presents a comparison between three of the most popular open source project management tools: Gantt Project, OrangeScrum, ProjeQtOr. To assess these project management tools is used the Qualification and Selection Open Source (QSOS) methodology. Copyright © 2019 by SCITEPRESS - Science and Technology Publications, Lda. All rights reserved.", , ,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073118139&partnerID=40&md5=e30c7b550ccdb3b575682986933dc3f1, 
Exploring Virtual Reality as an Integrated Development Environment for Cyber-Physical Systems,"Mikkonen T., Kemell K.-K., Kettunen P., Abrahamsson P.","Proceedings - 45th Euromicro Conference on Software Engineering and Advanced Applications, SEAA 2019",2019,121,125,,"Cyber Physical Systems (CPS) development approaches tend to start from the physical (hardware) perspective, and the software is the final element in the process. However, this approach is unfit for the more software-intensive world that is increasingly iterative, connected, and constantly online. Many constraints prevent the application of iterative, incremental, and agile development methodologies, which now are the norm for many other fields of software. Time-consuming system validation can only start when both hardware and software components are ready, which implies that the software delivery and quality is almost always the final bottleneck in the CPS development and integration. Also organizational issues raise concerns-CPS development teams are nowadays often geographically distributed, which can result in delays in the process, shortcomings, and even mistakes. In this paper, we propose using our envisioned open-source Virtual Reality-based Integrated software Development Environment (VRIDE) for developing the next generation, increasingly software-intensive CPSs in efficient ways. © 2019 IEEE.", , ,10.1109/SEAA.2019.00027,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076008278&doi=10.1109%2fSEAA.2019.00027&partnerID=40&md5=878d99e4e70f8e421924edd59b2910aa, 
Fluid structure interactions modelling in vented lean deflagrations,"Vendra C.M.R., Wen J.X.",Journal of Loss Prevention in the Process Industries,2019,183,194,,"The standard 20 ft ISO containers are studied both experimentally and numerically with model obstacles to ascertain the peak overpressures generated in case of an accidental fast deflagrations. Apart from overpressure its often important to know the maximum deflections of the enclosures to examine the structural integrity. The container walls are not rigid; they not only contribute through acoustic response to the pressure waves but also through structural resonance response to the generated overpressures, to capture these effects its necessary to do the Fluid Structure Interaction (FSI) or in simple terms the coupled Computational Fluid Dynamics (CFD) and Finite element analysis (FE) simulations. Alternatively, the structural response can be coupled to CFD simulation in either one-way or two-way interactions to reduce the associated computation efforts. Numerical simulations have been conducted with a pseudo two-way coupled CFD & FSI, to aid our understanding of the combination of various factor contributing for the generation of overpressures using an in-house solver developed based on open source CFD code OpenFOAM named as HyFOAM. The CFD solver solves the compressible Navier-stokes equations along with the spring-mass-damper system's single degree of freedom motion equation for coupled fluid structure interactions. The turbulent flame deflagrations are modelled using the flame area combustion model, the necessary modification are incorporated to governing equations to include the dominant flame instabilities present during the vented deflagration process. For lean hydrogen mixtures the Lewis number effects are important hence suitable modelling improvements are added to the combustion model. The numerical results are validated against the recent experiments conducted at Gexcon, Norway as part of the HySEA project supported by the Fuel Cells and Hydrogen 2 Joint Undertaking (FCHJU) under the Horizon 2020 Framework Programme for Research and Innovation. Numerical predictions of CFD and FSI coupled, are assessed against the experimental results to study the contributing factors affecting the generated overpressure with in the ISO containers in view to overall improve the numerical predictions. © 2019 Elsevier Ltd", , ,10.1016/j.jlp.2019.06.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067856004&doi=10.1016%2fj.jlp.2019.06.004&partnerID=40&md5=4bc85a772f4952957b0a7e84221fd25f, 
Implementation of a gateway for protocols in the 802.15.4 standard using open source and the hardware development board (raspberry) [Implementación de un gateway para protocolos en la norma 802.15.4 utilizando open source y la placa de desarrollo de hardware (raspberry)],"Toapanta F., Guarda T.",RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao,2019,208,220,,"Mobile technologies have undergone an evolution in the last two decades, mainly in the optimization of infrastructure, adapting them to new technologies that provide greater coverage, quality and speed in transmissions; with new services that require large rates of speed. he purpose of this paper is to analyze the implementation of a Gateway for the IEEE 802.15.4 standard with Open Source tools and the Raspberry Pi 3 development board, using the Agile Development methodology. Here the characteristics in its architecture, protocols and other fundamental aspects are presented so that the reader has a better understanding of it. © 2019, Associacao Iberica de Sistemas e Tecnologias de Informacao. All rights reserved.", , ,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077641976&partnerID=40&md5=a9723a0d9977d102a2b0ebd5724d8299, 
Introducing Agile Product Owners in a FLOSS Project,"Müller M., Schindler C., Slany W.",IFIP Advances in Information and Communication Technology,2019,38,43,,"Sponsored Open Source Software projects, driven by various actors, have to balance the needs of volunteer contributors and business objectives. This work presents Catrobat, a FLOSS project established at Graz University of Technology, and how it introduced agile product owners. Product owners communicate the product vision, provide a general direction, decide about features, and prioritize requirements that are implemented by the community, i.e., they are ultimately responsible for the product. This agile approach is intended to ensure a certain outcome, such as business objectives, but also to react to the needs of community members and users on a short-term basis. This paper presents how therefore this role has been defined and the processes have been adapted. © IFIP International Federation for Information Processing 2019.", , ,10.1007/978-3-030-20883-7_4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068961289&doi=10.1007%2f978-3-030-20883-7_4&partnerID=40&md5=5d5bdd01d92667effab6875b06b5d5a5, 
Introducing Automated Verification and Validation for Virtualized Network Functions and Services,"Peuster M., Schneider S., Zhao M., Xilouris G., Trakadas P., Vicens F., Tavernier W., Soenen T., Vilalta R., Andreou G., Kyriazis D., Karl H.",IEEE Communications Magazine,2019,96,102,,"NFV and SDN transform network management and operation into agile development tasks. They involve software artefacts, which are managed and deployed as composite services using DevOps principles. Those softwarized networks rely on complex technology stacks, starting with low-level virtualization technologies and ranging up to machine-learning-based orchestration solutions. One of the main challenges in those environments is to verify that the deployed functions and services operate correctly and meet the quality goals set by the stakeholders before they are put into production. We tackle this challenge by introducing the novel concept of a verification and validation (V&V) platform for NFV, which enables automatic testing and qualification of single network functions and complex services. By adding such a platform to the NFV ecosystem, new business models emerge, as we discuss in this article. We evaluate our proposed concepts by presenting a case study that uses our open source V&V platform to verify and validate the behavior and performance of a real-world network service. © 1979-2012 IEEE.", , ,10.1109/MCOM.2019.1800873,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065860581&doi=10.1109%2fMCOM.2019.1800873&partnerID=40&md5=ba850d7d33c2a44ded1e014182419b5b, 
Learning to Identify Security-Related Issues Using Convolutional Neural Networks,"Palacio D.N., McCrystal D., Moran K., Bernal-Cardenas C., Poshyvanyk D., Shenefiel C.","Proceedings - 2019 IEEE International Conference on Software Maintenance and Evolution, ICSME 2019",2019,140,144,,"Software security is becoming a high priority for both large companies and start-ups alike due to the increasing potential for harm that vulnerabilities and breaches carry with them. However, attaining robust security assurance while delivering features requires a precarious balancing act in the context of agile development practices. One path forward to help aid development teams in securing their software products is through the design and development of security-focused automation. Ergo, we present a novel approach, called SecureReqNet, for automatically identifying whether issues in software issue tracking systems describe security-related content. Our approach consists of a two-phase neural net architecture that operates purely on the natural language descriptions of issues. The first phase of our approach learns high dimensional word embeddings from hundreds of thousands of vulnerability descriptions listed in the CVE database and issue descriptions extracted from open source projects. The second phase then utilizes the semantic ontology represented by these embeddings to train a convolutional neural network capable of predicting whether a given issue is security-related. We evaluated SecureReqNet by applying it to identify security-related issues from a dataset of thousands of issues mined from popular projects on GitLab and GitHub. In addition, we also applied our approach to identify security-related requirements from a commercial software project developed by a major telecommunication company. Our preliminary results are encouraging, with SecureReqNet achieving an accuracy of 96% on open source issues and 71.6% on industrial requirements. © 2019 IEEE.", , ,10.1109/ICSME.2019.00024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077192076&doi=10.1109%2fICSME.2019.00024&partnerID=40&md5=27a850892192fe1ebc10bbc27de25e50, 
Multi-response optimization based on desirability function and Taguchi method in agile software development,"Pai A., Joshi G., Rane S.",International Journal of Systems Assurance Engineering and Management,2019,1444,1452,,"Software industries are continuously striving to achieve software quality through delivery of defect free software within time and within estimated budget. Most of the quality improvement strategies in software development focusses on optimizing a single response variable such as the defect count. But in reality, many responses contribute to the quality of software developed which requires to be studied simultaneously. This paper attempts to study the number of defects in software and the effort required in correcting these defects, simultaneously using desirability function and Taguchi method. Effort is defined as the time span from when the defect was logged into the system to the time when the defect was corrected and removed from the system and is measured in hours. The work has been executed on the issue tracking system of a large telecommunication organization. The organization manufactured consumer electronic devices having embedded software developed using agile development method. The input factors studied are Change Request Priority, software development phase and severity, which were selected from a total of 24 parameters using analytic hierarchy process. Significant factors and their optimal levels which optimized the defects captured and the effort taken to eliminate them, were obtained. Confirmation tests were performed using the optimal settings of the input factors on the data from the subsequent sprint which showed a 20% improvement in the overall desirability value. © 2019, The Society for Reliability Engineering, Quality and Operations Management (SREQOM), India and The Division of Operation and Maintenance, Lulea University of Technology, Sweden.", , ,10.1007/s13198-019-00894-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075987323&doi=10.1007%2fs13198-019-00894-7&partnerID=40&md5=0b65786cad61cc7bd3061f388b9b0f32, 
Open Source Firmware Customization Problem: Experimentation and Challenges,"Ndie T.D., Jonas K.",Advances in Intelligent Systems and Computing,2019,306,317,,"The great advantages of open source code-based projects like the case of open source firmware (OSF) are flexibility and freedom of customization. However, the difficulty inherent to their development process, which can be seen as a software composition issue, is the lack of structured approach and a teachable methodology for efficiently tackling such project. In this paper, we propose a 5-step pedagogical OSF’s customization approach, coupled with an agile development process to guide the learner and ease his comprehension. We experience this approach to prototype WiAFirm, an OpenWRT-based firmware for operating IEEE 802.11x enabled WAP. Two groups of 04 students each were involved. After 2 months of experimentation, the group that applied the approach was able to integrate into the core OpenWRT a custom WifiDog captive portal feature as a built-in package; while the other group had barely understood the goal of customizing an OSF. © 2019, Springer Nature Switzerland AG.", , ,10.1007/978-3-030-22868-2_23,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069508032&doi=10.1007%2f978-3-030-22868-2_23&partnerID=40&md5=242b34da6823ed80eef86dfc906695cd, 
Open source infrastructure for health care data integration and machine learning analyses,"Isoviita V.-M., Salminen L., Azar J., Lehtonen R., Roering P., Carpen O., Hietanen S., Grenman S., Hynninen J., Farkkila A., Hautaniemi S.",JCO Clinical Cancer Informatics,2019,,,,"PURPOSE We have created a cloud-based machine learning system (CLOBNET) that is an open-source, lean infrastructure for electronic health record (EHR) data integration and is capable of extract, transform, and load (ETL) processing. CLOBNET enables comprehensive analysis and visualization of structured EHR data. We demonstrate the utility of CLOBNET by predicting primary therapy outcomes of patients with high-grade serous ovarian cancer (HGSOC) on the basis of EHR data. MATERIALS AND METHODS CLOBNET is built using open-source software to make data preprocessing, analysis, and model training user friendly. The source code of CLOBNET is available in GitHub. The HGSOC data set was based on a prospective cohort of 208 patients with HGSOC who were treated at Turku University Hospital, Finland, from 2009 to 2019 for whom comprehensive clinical and EHR data were available. RESULTS We trained machine learning (ML) models using clinical data, including a herein developed dissemination score that quantifies the disease burden at the time of diagnosis, to identify patients with progressive disease (PD) or a complete response (CR) on the basis of RECIST (version 1.1). The best performance was achieved with a logistic regression model, which resulted in an area under receiver operating characteristic curve (AUROC) of 0.86, with a specificity of 73% and a sensitivity of 89%, when it classified between patients who experienced PD and CR. CONCLUSION We have developed an open-source computational infrastructure, CLOBNET, that enables effective and rapid analysis of EHR and other clinical data. Our results demonstrate that CLOBNET allows predictions to be made on the basis of EHR data to address clinically relevant questions. © 2019 by American Society of Clinical Oncology.", , ,10.1200/CCI.18.00132,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076103257&doi=10.1200%2fCCI.18.00132&partnerID=40&md5=feea507ffa1abeed58827f33caf18aba, 
Open-Source Innovation in Practice: A Lean-Based Development Process Leveraging Open-Source Big Data Tools,"Alonso S., Viana M., Cirilo E., Alencar P., Lucena C.","Proceedings - 2019 IEEE International Conference on Big Data, Big Data 2019",2019,4662,4671,,"Innovation depends on the exploitation of market potential with products that are aligned with customer needs. However, building innovative products is becoming gradually more challenging because of increased market volatility, uncertainty, complexity and ambiguity. In our Innovation Lab, inside an e-Procurement Company, we encountered several challenges when implementing an innovation process to develop an initial unstructured data processing Minimum Viable Product (MVP) based on opensource big data tools: (i) raising and prioritizing user demands; (ii) deciding about adequate tools; and (iii) understanding how to promptly set up a viable product. In this paper, we share our open-source innovation experience in bringing novel solutions to an oil company's suppliers. In general, we present and discuss how we have been applying our innovation process to create MVPs, and which technical decision helped us accelerate the MVP development in the presence of a large-scale, unstructured database and open-source big data tools. Overall, we believe the proposed lean-based development process can help practitioners and researchers who want to understand and improve their knowledge about lean products, how to build MVPs, and advance open-source innovation involving big data tools. © 2019 IEEE.", , ,10.1109/BigData47090.2019.9006516,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081383353&doi=10.1109%2fBigData47090.2019.9006516&partnerID=40&md5=f955e189895069c53fb6353304aff5d6, 
Practical Implementation of Industry 4.0 Based on Open Access Tools and Technologies,"Awouda A., Aliev K., Chiabert P., Antonelli D.",IFIP Advances in Information and Communication Technology,2019,94,103,,"Industry 4.0 provides a major breakthrough for innovating processes in contemporary manufacturing companies, it arises from the simultaneous presence of an opportunity and a necessity. The opportunity is the availability of powerful ICT technologies, that everyone uses every day with smart phones thanks to the well-established and expensive infrastructure provided by tech giants. The necessity is the achievement of Lean transformation in western enterprises through a deep knowledge on manufacturing processes and an incessant training of workforce. Industry 4.0 will provide us with an integrated holistic view of the manufacturing processes and the possibility to control them according to appropriate forecasts and evaluation of performances and results. Industry 4.0 was born in 2011 and it is in its early stage, there are many research gaps which must be studied and large applications that must be fully integrated in the Industry 4.0 framework. In this paper a simple application of Industry 4.0 is presented with the aim of demonstrating that, using commercially available open source components, it is possible to integrate different technologies belonging to industry (robotics) and commercial components into one eco-system. Moreover, it integrates different I4.0 enabling technologies namely: Robotics, IoT and fog/edge computing. Finally, the proposed framework can serve as an educational and practical tool for demonstration of Industry 4.0. © 2019, IFIP International Federation for Information Processing.", , ,10.1007/978-3-030-42250-9_9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082127591&doi=10.1007%2f978-3-030-42250-9_9&partnerID=40&md5=17e929c662d0c16ab5a00e3497c0544d, 
