Document Title,Title Level,Authors,Publication Title,Publication Year,Start Page,End Page,,>= 4,Abstract,Abstract level,Double-check by Tiago or Paulo,DOI,PDF Link,OBS
Comparing Scaling Agile Frameworks Based on Underlying Practices,0,Sven TheobaldAnna SchmittPhilipp Diebold,Agile Processes in Software Engineering and Extreme Programming â€“ Workshops,2019,,,,,,,,10.1007/978-3-030-30126-2_11,http://link.springer.com/chapter/10.1007/978-3-030-30126-2_11,
Micro Patterns in Agile Software,0,Giulio ConcasGiuseppe DestefanisMichele MarchesiMarco OrtuRoberto Tonelli,Agile Processes in Software Engineering and Extreme Programming,2013,,,,,,,,10.1007/978-3-642-38314-4_15,http://link.springer.com/chapter/10.1007/978-3-642-38314-4_15,
Exploring Workflow Mechanisms and Task Allocation Strategies in Agile Software Teams,0,Zainab MasoodRashina HodaKelly Blincoe,Agile Processes in Software Engineering and Extreme Programming,2017,,,,,,,,10.1007/978-3-319-57633-6_19,http://link.springer.com/chapter/10.1007/978-3-319-57633-6_19,
Possibilities of Use of Free and Open Source Software in the Greek Local Authorities,0,Stavros KoloniarisGeorge KousiourisMara Nikolaidou,Open Source Systems: Enterprise Software and Solutions,2018,,,,,,,,10.1007/978-3-319-92375-8_11,http://link.springer.com/chapter/10.1007/978-3-319-92375-8_11,
How Scrum Tools May Change Your Agile Software Development Approach,0,Matthias EckhartJohannes Feiner,Software Quality. The Future of Systems- and Software Development,2016,,,,,,,,10.1007/978-3-319-27033-3_2,http://link.springer.com/chapter/10.1007/978-3-319-27033-3_2,
An Empirical Study on the Adoption of Agile Software Development in Public Organizations,0,Isaque VacariRafael Prikladnicki,Agile Methods,2017,,,,,,,,10.1007/978-3-319-55907-0_1,http://link.springer.com/chapter/10.1007/978-3-319-55907-0_1,
A Novel Application of Open Source Technologies to Measure Agile Software Development Process,1,Luis CorralAndrea JanesTadas RemenciusJuri StrumpflohnerJelena Vlasenko,Open Source Systems: Long-Term Sustainability,2012,,,,,"In the last 10 years Open Source products have been widely used in industry. New methodologies and best practices to develop Open Source software appeared. In this work, we present an application that runs on Android-based mobile phones and collects proximity data with other devices via Bluetooth. The application gives new insights into measuring proximity inside a team of software developers. Data collection process is automatic so that the team members are not distracted from their daily activities. The collected data represent time frames when developers work alone at their machines and when they do Pair Programming with their colleagues.",0,,10.1007/978-3-642-33442-9_28,http://link.springer.com/chapter/10.1007/978-3-642-33442-9_28,
Self-Assignment: Task Allocation Practice in Agile Software Development,0,Zainab Masood,Agile Processes in Software Engineering and Extreme Programming,2017,,,,,,,,10.1007/978-3-319-57633-6_22,http://link.springer.com/chapter/10.1007/978-3-319-57633-6_22,
The Changing Role of the Software Engineer,0,Edward MeadeEmma Oâ€™KeeffeNiall LyonsDean LynchMurat YilmazUlas GulecRory V. Oâ€™ConnorPaul M. Clarke,"Systems, Software and Services Process Improvement",2019,,,,,,,,10.1007/978-3-030-28005-5_53,http://link.springer.com/chapter/10.1007/978-3-030-28005-5_53,
Applying Open Source Practices and Principles in Open Innovation: The Case of the Demola Platform,0,Terhi KilamoImed HammoudaVille KairamoPetri RÃ¤sÃ¤nenJukka P. Saarinen,Open Source Systems: Grounding Research,2011,,,,,,,,10.1007/978-3-642-24418-6_22,http://link.springer.com/chapter/10.1007/978-3-642-24418-6_22,
From Agile Software Development to Mercury Business,0,Janne JÃ¤rvinenTua HuomoTommi MikkonenPasi TyrvÃ¤inen,Software Business. Towards Continuous Value Delivery,2014,,,,,,,,10.1007/978-3-319-08738-2_5,http://link.springer.com/chapter/10.1007/978-3-319-08738-2_5,
Getting Agile Methods to Work for Cordys Global Software Product Development,0,Jos van HillegersbergGerwin LigtenbergMehmet N. Aydin,New Studies in Global IT and Business Service Outsourcing,2011,,,,,,,,10.1007/978-3-642-24815-3_8,http://link.springer.com/chapter/10.1007/978-3-642-24815-3_8,
Adopting Test Automation on Agile Development Projects: A Grounded Theory Study of Indian Software Organizations,0,Sulabh TyagiRitu SibalBharti Suri,Agile Processes in Software Engineering and Extreme Programming,2017,,,,,,,,10.1007/978-3-319-57633-6_12,http://link.springer.com/chapter/10.1007/978-3-319-57633-6_12,
Technological Innovation and Resource Bricolage in Firms: The Role of Open Source Software,0,Aarti MahajanBart Clarysse,Open Source Software: Quality Verification,2013,,,,,,,,10.1007/978-3-642-38928-3_1,http://link.springer.com/chapter/10.1007/978-3-642-38928-3_1,
Estimating the Implementation Risk of Requirements in Agile Software Development Projects with Traceability Metrics,0,Patrick RempelPatrick MÃ¤der,Requirements Engineering: Foundation for Software Quality,2015,,,,,,,,10.1007/978-3-319-16101-3_6,http://link.springer.com/chapter/10.1007/978-3-319-16101-3_6,
Surveying the Adoption of FLOSS by Public Administration Local Organizations,0,Davide TosiLuigi LavazzaSandro MorascaMarco Chiappa,Open Source Systems: Adoption and Impact,2015,,,,,,,,10.1007/978-3-319-17837-0_11,http://link.springer.com/chapter/10.1007/978-3-319-17837-0_11,
Getting Customersâ€™ Motives: Lean on Motivation Theory for Designing Virtual Ideas Communities,0,Ulrich BretschneiderJan Marco Leimeister,Governance and Sustainability in Information Systems. Managing the Transfer and Diffusion of IT,2011,,,,,,,,10.1007/978-3-642-24148-2_11,http://link.springer.com/chapter/10.1007/978-3-642-24148-2_11,
Applying Agent-Based Simulation to the Improvement of Agile Software Management,0,Nuria HurtadoMercedes RuizCristina CapitasElena Orta,Software Process Improvement and Capability Determination,2017,,,,,,,,10.1007/978-3-319-67383-7_13,http://link.springer.com/chapter/10.1007/978-3-319-67383-7_13,
Combining FOSS and Kanban: An Action Research,1,Annemarie Harzl,Open Source Systems: Integrating Communities,2016,,,,,,1,,10.1007/978-3-319-39225-7_6,http://link.springer.com/chapter/10.1007/978-3-319-39225-7_6,
Arsonists or Firefighters? Affectiveness in Agile Software Development,1,Marco OrtuGiuseppe DestefanisSteve CounsellStephen SwiftRoberto TonelliMichele Marchesi,"Agile Processes, in Software Engineering, and Extreme Programming",2016,,,,,,1,,10.1007/978-3-319-33515-5_12,http://link.springer.com/chapter/10.1007/978-3-319-33515-5_12,
Would you mind fixing this issue?,0,Marco OrtuGiuseppe DestefanisMohamad KassabSteve CounsellMichele MarchesiRoberto Tonelli,Agile Processes in Software Engineering and Extreme Programming,2015,,,,,,,,10.1007/978-3-319-18612-2_11,http://link.springer.com/chapter/10.1007/978-3-319-18612-2_11,
The Agile Management of Development Projects of Software Combining Scrum,0,Michel Evaristo Febles ParkerYusleydi FernÃ¡ndez del Monte,Kanban and Expert Consultation,2014,,,,,,,,10.1007/978-3-642-55128-4_25,http://link.springer.com/chapter/10.1007/978-3-642-55128-4_25,
Adapting SCRUM to the Italian Army: Methods and (Open) Tools,0,Franco Raffaele CotugnoAngelo Messina,Open Source Software: Mobile Open Source Technologies,2014,,,,,,,,10.1007/978-3-642-55128-4_7,http://link.springer.com/chapter/10.1007/978-3-642-55128-4_7,
Information Flow within a Dispersed Agile Team: A Distributed Cognition Perspective,0,Helen SharpRosalba GiuffridaGrigori Melnik,Agile Processes in Software Engineering and Extreme Programming,2012,,,,,,,,10.1007/978-3-642-30350-0_5,http://link.springer.com/chapter/10.1007/978-3-642-30350-0_5,
Supporting Agile Software Development by Natural Language Processing,0,Barbara PlankThomas SauerIna Schaefer,"Trustworthy Eternal Systems via Evolving Software, Data and Knowledge",2013,,,,,,,,10.1007/978-3-642-45260-4_7,http://link.springer.com/chapter/10.1007/978-3-642-45260-4_7,
Open Standards and Open Source in Swedish Schools: On Promotion of Openness and Transparency,0,BjÃ¶rn LundellJonas Gamalielsson,Open Source Software: Quality Verification,2013,,,,,,,,10.1007/978-3-642-38928-3_15,http://link.springer.com/chapter/10.1007/978-3-642-38928-3_15,
Permissioned Blockchains and Smart Contracts into Agile Software Processes,0,Sofia TerziIoannis Stamelos,Software Process Improvement and Capability Determination,2018,,,,,,,,10.1007/978-3-030-00623-5_26,http://link.springer.com/chapter/10.1007/978-3-030-00623-5_26,
Benefits of Open Source Software in Defense Environments,0,Daniel Russo,Proceedings of 4th International Conference in Software Engineering for Defence Applications,2016,,,,,,,,10.1007/978-3-319-27896-4_11,http://link.springer.com/chapter/10.1007/978-3-319-27896-4_11,
"Release Early, Release Often and Release on Time. An Empirical Case Study of Release Management",0,Jose Teixeira,,2017,,,,,,,,10.1007/978-3-319-57735-7_16,http://link.springer.com/chapter/10.1007/978-3-319-57735-7_16,
Application of Computational Linguistics Techniques for Improving Software Quality,0,Amin BoudeffaAntonin AbherveAlessandra BagnatoCedric ThomasMartin HamantAssad Montasser,Product-Focused Software Process Improvement,2019,,,,,,,,10.1007/978-3-030-35333-9_41,http://link.springer.com/chapter/10.1007/978-3-030-35333-9_41,
SADT/IDEF0 for Augmenting UML,0,David A. Marca,Agile and Usability Engineering Methods,2013,,,,,,,,10.1007/978-3-642-36177-7_3,http://link.springer.com/chapter/10.1007/978-3-642-36177-7_3,
MELODIC: Selection and Integration of Open Source to Build an Autonomic Cross-Cloud Deployment Platform,0,Geir HornPaweÅ‚ SkrzypekMarcin PrusiÅ„skiKatarzyna MaterkaVassilis StefanidisYiannis Verginadis,Software Technology: Methods and Tools,2019,,,,,,,,10.1007/978-3-030-29852-4_31,http://link.springer.com/chapter/10.1007/978-3-030-29852-4_31,
Empowering Instead of Hindering â€“ Challenges in Participatory Development of Cognitively Accessible Software,0,Susanne Dirks,"Universal Access in Human-Computer Interaction. Theory, Methods and Tools",2019,,,,,,,,10.1007/978-3-030-23560-4_3,http://link.springer.com/chapter/10.1007/978-3-030-23560-4_3,
Should This Software Component Be Developed Inside or Outside Our Firm? - A Design Science Perspective on the Sourcing of Application Systems,0,Tommi KramerArmin HeinzlKai Spohrer,New Studies in Global IT and Business Service Outsourcing,2011,,,,,,,,10.1007/978-3-642-24815-3_7,http://link.springer.com/chapter/10.1007/978-3-642-24815-3_7,
Flow Research SXP Agile Methodology for FOSS Projects,1,Gladys Marsi PeÃ±alver RomeroLisandra Isabel Leyva SamadaAbel Meneses Abad,Open Source Software: Mobile Open Source Technologies,2014,,,,,,1,,10.1007/978-3-642-55128-4_28,http://link.springer.com/chapter/10.1007/978-3-642-55128-4_28,
Analyzing the Drivers of the Combination of Lean and Agile in Software Development Companies,0,Pilar RodrÃ­guezJouni MarkkulaMarkku OivoJuan Garbajosa,Product-Focused Software Process Improvement,2012,,,,,,,,10.1007/978-3-642-31063-8_12,http://link.springer.com/chapter/10.1007/978-3-642-31063-8_12,
A Case Study to Enable and Monitor Real IT Companies Migrating from Waterfall to Agile,0,Antonio CapodieciLuca MainettiLuigi Manco,Computational Science and Its Applications â€“ ICCSA 2014,2014,,,,,,,,10.1007/978-3-319-09156-3_9,http://link.springer.com/chapter/10.1007/978-3-319-09156-3_9,
Growing into Agility: Process Implementation Paths for Scrum,0,Kevin VlaanderenPeter van StijnSjaak BrinkkemperInge van de Weerd,Product-Focused Software Process Improvement,2012,,,,,,,,10.1007/978-3-642-31063-8_10,http://link.springer.com/chapter/10.1007/978-3-642-31063-8_10,
Quality Assurance and Traceability in Containerized Continuous Delivery Process,0,Oyewale Adedayo OyelamiAlexander PothJohannes HintschAndreas Riel,"Systems, Software and Services Process Improvement",2019,,,,,,,,10.1007/978-3-030-28005-5_28,http://link.springer.com/chapter/10.1007/978-3-030-28005-5_28,
Agile Process Improvement: Diagnosis and Planning to Improve Teamwork,0,Mats Angermo RingstadTorgeir DingsÃ¸yrNils Brede Moe,"Systems, Software and Service Process Improvement",2011,,,,,,,,10.1007/978-3-642-22206-1_15,http://link.springer.com/chapter/10.1007/978-3-642-22206-1_15,
Exploring Collaboration Networks in Open-Source Projects,1,Andrejs JermakovicsAlberto SillittiGiancarlo Succi,Open Source Software: Quality Verification,2013,,,,,"Analysis of developer collaboration networks presents an opportunity for understanding and thus improving the software development process. Discovery of these networks, however, presents a challenge since the collaboration relationships are initially not known. In this work we apply an approach for discovering collaboration networks of open source developers from Version Control Systems (VCS). It computes similarities among developers based on common file changes, constructs the network of collaborating developers and applies filtering techniques to improve the readability of the visualized network. We use the approach in case studies of three different projects from open source (phpMyAdmin, Eclipse Data Tools Platform and Gnu Compiler Collection) to learn their organizational structure and patterns. Our results indicate that with little effort the approach is capable of revealing aspects of these projects that were previously not known or would require a lot of effort to discover manually via other means, such as reading project documentation and forums.",0,,10.1007/978-3-642-38928-3_7,http://link.springer.com/chapter/10.1007/978-3-642-38928-3_7,
AMINSEP-Agile Methodology Implementation for a New Software Engineering Paradigm Definition. A Research Project Proposal,0,Vincenzo MauroAngelo Messina,Proceedings of 4th International Conference in Software Engineering for Defence Applications,2016,,,,,,,,10.1007/978-3-319-27896-4_3,http://link.springer.com/chapter/10.1007/978-3-319-27896-4_3,
Integrating Agile Development Processes and User Centred Design- A Place for Usability Maturity Models?,0,Dina SalahRichard PaigePaul Cairns,Human-Centered Software Engineering,2014,,,,,,,,10.1007/978-3-662-44811-3_7,http://link.springer.com/chapter/10.1007/978-3-662-44811-3_7,
FLOSS Project Management in Government-Academia Collaboration,1,Melissa WenPaulo MeirellesRodrigo SiqueiraFabio Kon,Open Source Systems: Enterprise Software and Solutions,2018,,,,,,1,,10.1007/978-3-319-92375-8_2,http://link.springer.com/chapter/10.1007/978-3-319-92375-8_2,
Agile Requirements Prioritization: What Happens in Practice and What Is Described in Literature,0,Zornitza BakalovaMaya DanevaAndrea HerrmannRoel Wieringa,Requirements Engineering: Foundation for Software Quality,2011,,,,,,,,10.1007/978-3-642-19858-8_18,http://link.springer.com/chapter/10.1007/978-3-642-19858-8_18,
Identifying Success Factors for the Mozilla Project,0,Robert Viseur,Open Source Software: Quality Verification,2013,,,,,,,,10.1007/978-3-642-38928-3_4,http://link.springer.com/chapter/10.1007/978-3-642-38928-3_4,
Towards Improving OSS Products Selection â€“ Matching Selectors and OSS Communities Perspectives,1,Claudia AyalaDaniela S. CruzesXavier FranchReidar Conradi,Open Source Systems: Grounding Research,2011,,,,,"Adopting third-party software is becoming an economical and strategic need for today organizations. A fundamental part of its successful adoption is the informed selection of products that best fit the organization needs. One of the main current problems hampering selection, specially of OSS products is the vast amount of unstructured, incomplete, evolvable and widespread information about products that highly increases the risks of taking a wrong decision. In this paper, we aim to inform and provide evidence to OSS communities that help them to envisage improvements on their information rendering strategies to satisfy industrial OSS selectors’ needs. Our results are from the matching between the informational needs of 23 OSS selectors from diverse software-intensive organizations, and the in-depth study of 9 OSS communities of different sizes and domains. The results evidenced specific areas of improvement that might help to enhance the industrial OSS selection practice.",0,,10.1007/978-3-642-24418-6_17,http://link.springer.com/chapter/10.1007/978-3-642-24418-6_17,
Exploring the Tensions between Software Project Portfolio Management and Agile Methods: A Research in Progress Paper,0,Roger SweetmanKieran Conboy,Lean Enterprise Software and Systems,2013,,,,,,,,10.1007/978-3-642-44930-7_14,http://link.springer.com/chapter/10.1007/978-3-642-44930-7_14,
How Many Eyeballs Does a Bug Need? An Empirical Validation of Linusâ€™ Law,0,Subhajit DattaProshanta SarkarSutirtha DasSonu SreshthaPrasanth LadeSubhashis Majumder,Agile Processes in Software Engineering and Extreme Programming,2014,,,,,,,,10.1007/978-3-319-06862-6_17,http://link.springer.com/chapter/10.1007/978-3-319-06862-6_17,
Preferred Tools for Agile Development: A Sociocultural Perspective,0,Paolo CiancariniMarcello MissiroliAlberto Sillitti,Software Technology: Methods and Tools,2019,,,,,,,,10.1007/978-3-030-29852-4_3,http://link.springer.com/chapter/10.1007/978-3-030-29852-4_3,
A Comparative Study of Scrum and Kanban Approaches on a Real Case Study Using Simulation,0,David J. AndersonGiulio ConcasMaria Ilaria LunesuMichele MarchesiHongyu Zhang,Agile Processes in Software Engineering and Extreme Programming,2012,,,,,,,,10.1007/978-3-642-30350-0_9,http://link.springer.com/chapter/10.1007/978-3-642-30350-0_9,
Teaching Scrum to Software Engineering Students with Virtual Reality Support,0,Guillermo RodrÃ­guezAlvaro SoriaMarcelo Campo,"Advances in New Technologies, Interactive Interfaces and Communicability",2012,,,,,,,,10.1007/978-3-642-34010-9_14,http://link.springer.com/chapter/10.1007/978-3-642-34010-9_14,
Dependable Solutions Design by Agile Modeled Layered Security Architectures,0,M. Upendra KumarD. Sravan KumarB. Padmaja RaniK. Venkateswar RaoA. V. Krishna PrasadD. Shravani,Advances in Computer Science and Information Technology. Networks and Communications,2012,,,,,,,,10.1007/978-3-642-27299-8_53,http://link.springer.com/chapter/10.1007/978-3-642-27299-8_53,
Engineering Open Innovation â€“ Towards a Framework for Fostering Open Innovation,0,Krzysztof WnukPer Runeson,Software Business. From Physical Products to Software Services and Solutions,2013,,,,,,,,10.1007/978-3-642-39336-5_6,http://link.springer.com/chapter/10.1007/978-3-642-39336-5_6,
DevOps is Simply Interaction Between Development and Operations,0,Floris Erich,Software Engineering Aspects of Continuous Development and New Paradigms of Software Production and Deployment,2019,,,,,,,,10.1007/978-3-030-06019-0_7,http://link.springer.com/chapter/10.1007/978-3-030-06019-0_7,
Adoption of Academic Tools in Open Source Communities: The Debian Case Study,1,Pietro AbateRoberto Di Cosmo,Open Source Systems: Towards Robust Practices,2017,,,,,,0,,10.1007/978-3-319-57735-7_14,http://link.springer.com/chapter/10.1007/978-3-319-57735-7_14,
Modeling Tools for Social Coding,0,Mirai WatanabeYutaka WatanobeAlexander Vazhenin,"Intelligent Software Methodologies, Tools and Techniques",2015,,,,,,,,10.1007/978-3-319-22689-7_31,http://link.springer.com/chapter/10.1007/978-3-319-22689-7_31,
Fostering and Sustaining Innovation in a Fast Growing Agile Company,0,Nils Brede MoeSebastian BarneyAybÃ¼ke AurumMahvish KhurumClaes WohlinHamish T. BarneyTony GorschekMartha Winata,Product-Focused Software Process Improvement,2012,,,,,,,,10.1007/978-3-642-31063-8_13,http://link.springer.com/chapter/10.1007/978-3-642-31063-8_13,
The Census of the Brazilian Open-Source Community,0,Gustavo PintoFernando Kamei,Open Source Software: Mobile Open Source Technologies,2014,,,,,,,,10.1007/978-3-642-55128-4_30,http://link.springer.com/chapter/10.1007/978-3-642-55128-4_30,
Against the Odds: Managing the Unmanagable in a Time of Crisis,0,Diomidis Spinellis,Advanced Information Systems Engineering,2014,,,,,,,,10.1007/978-3-319-07881-6_3,http://link.springer.com/chapter/10.1007/978-3-319-07881-6_3,
How to Calculate Software Metrics for Multiple Languages Using Open Source Parsers,0,Andrea JanesDanila PiatovAlberto SillittiGiancarlo Succi,Open Source Software: Quality Verification,2013,,,,,,,,10.1007/978-3-642-38928-3_20,http://link.springer.com/chapter/10.1007/978-3-642-38928-3_20,
Artificial Intelligence Helps Making Quality Assurance Processes Leaner,0,Alexander PothQuirin BeckAndreas Riel,"Systems, Software and Services Process Improvement",2019,,,,,,,,10.1007/978-3-030-28005-5_56,http://link.springer.com/chapter/10.1007/978-3-030-28005-5_56,
Characteristics of High Performance Software Development Teams,0,Alessandra C. S. DutraRafael PrikladnickiTayana Conte,Enterprise Information Systems,2015,,,,,,,,10.1007/978-3-319-29133-8_17,http://link.springer.com/chapter/10.1007/978-3-319-29133-8_17,
Observations on Utilising Usability Maturity Model-Human Centredness Scale in Integrating Agile Development Processes and User Centred Design,0,Dina SalahRichard PaigePaul Cairns,Software Process Improvement and Capability Determination,2015,,,,,,,,10.1007/978-3-319-19860-6_13,http://link.springer.com/chapter/10.1007/978-3-319-19860-6_13,
Visualizing Testing Activities to Support Continuous Integration: A Multiple Case Study,0,Agneta NilssonJan BoschChristian Berger,Agile Processes in Software Engineering and Extreme Programming,2014,,,,,,,,10.1007/978-3-319-06862-6_12,http://link.springer.com/chapter/10.1007/978-3-319-06862-6_12,
Collaborative Resolution of Requirements Mismatches When Adopting Open Source Components,0,Nguyen Duc AnhDaniela S. CruzesReidar ConradiMartin HÃ¶stXavier FranchClaudia Ayala,Requirements Engineering: Foundation for Software Quality,2012,,,,,,,,10.1007/978-3-642-28714-5_7,http://link.springer.com/chapter/10.1007/978-3-642-28714-5_7,
Adapting Enterprise Architecture at a Software Development Company and the Resultant Benefits,0,Krzysztof JamrÃ³zDariusz PitulejJan Werewka,Software Architecture,2014,,,,,,,,10.1007/978-3-319-09970-5_16,http://link.springer.com/chapter/10.1007/978-3-319-09970-5_16,
An Analysis of Author Contribution Patterns in Eclipse Foundation Project Source Code,0,Quinn C. TaylorJonathan L. KreinAlexander C. MacLeanCharles D. Knutson,Open Source Systems: Grounding Research,2011,,,,,,,,10.1007/978-3-642-24418-6_19,http://link.springer.com/chapter/10.1007/978-3-642-24418-6_19,
Enhancing Agile Team Collaboration Through the Use of Large Digital Multi-touch Cardwalls,0,Martin KroppCraig AnslowMagdalena MateescuRoger BurkhardDario VischiCarmen Zahn,Agile Processes in Software Engineering and Extreme Programming,2017,,,,,,,,10.1007/978-3-319-57633-6_8,http://link.springer.com/chapter/10.1007/978-3-319-57633-6_8,
Cross-Platform Application Development Using AXIOM as an Agile Model-Driven Approach,0,Xiaoping JiaChris Jones,Software and Data Technologies,2013,,,,,,,,10.1007/978-3-642-45404-2_3,http://link.springer.com/chapter/10.1007/978-3-642-45404-2_3,
On Infrastructure for Facilitation of Inner Source in Small Development Teams,0,Johan LinÃ¥kerMaria KrantzMartin HÃ¶st,Product-Focused Software Process Improvement,2014,,,,,,,,10.1007/978-3-319-13835-0_11,http://link.springer.com/chapter/10.1007/978-3-319-13835-0_11,
Reporting in Agile Portfolio Management: Routines Metrics and Artefacts to Maintain an Effective Oversight,0,Christoph Johann StettinaLennard Schoemaker,,2018,,,,,,,,10.1007/978-3-319-91602-6_14,http://link.springer.com/chapter/10.1007/978-3-319-91602-6_14,
An Industrial Case Study on Test Cases as Requirements,0,Elizabeth BjarnasonMichael UnterkalmsteinerEmelie EngstrÃ¶mMarkus Borg,Agile Processes in Software Engineering and Extreme Programming,2015,,,,,,,,10.1007/978-3-319-18612-2_3,http://link.springer.com/chapter/10.1007/978-3-319-18612-2_3,
Lean Data Science Research Life Cycle: A Concept for Data Analysis Software Development,0,Maxim ShcherbakovNataliya ShcherbakovaAdriaan BrebelsTimur JanovskyValery Kamaev,Knowledge-Based Software Engineering,2014,,,,,,,,10.1007/978-3-319-11854-3_61,http://link.springer.com/chapter/10.1007/978-3-319-11854-3_61,
Exploring Software Process Variation Arising from Differences in Situational Context,0,Paul M. ClarkeRory V. Oâ€™ConnorDavid SolanPeter ElgerMurat YilmazAdam EnnisMark GerritySean McGrathRyan Treanor,"Systems, Software and Services Process Improvement",2017,,,,,,,,10.1007/978-3-319-64218-5_3,http://link.springer.com/chapter/10.1007/978-3-319-64218-5_3,
Step-by-Step Strategies and Case Studies for Embedded Software Companies to Adapt to the FOSS Ecosystem,0,Suhyun KimJaehyun YooMyunghwa Lee,Open Source Systems: Long-Term Sustainability,2012,,,,,,,,10.1007/978-3-642-33442-9_4,http://link.springer.com/chapter/10.1007/978-3-642-33442-9_4,
