Title,Authors,Year,Document Type,DOI,Link,Publication Title
Organizing Knowledge on Nonverbal Communication Mediated Through Haptic Technology,Hector M. Camarillo-AbadJ. Alfredo SánchezOleg Starostenko,2019,Chapter,10.1007/978-3-030-37386-3_20,http://link.springer.com/chapter/10.1007/978-3-030-37386-3_20,Human-Computer Interaction
Design of a (Yet Another?) DevOps Course,Alfredo CapozuccaNicolas GuelfiBenoît Ries,2019,Chapter,10.1007/978-3-030-06019-0_1,http://link.springer.com/chapter/10.1007/978-3-030-06019-0_1,Software Engineering Aspects of Continuous Development and New Paradigms of Software Production and Deployment
Q-Rapids: Quality-Aware Rapid Software Development – An H2020 Project,Lidia LópezMarc Oriol,2019,Chapter,10.1007/978-3-030-35333-9_46,http://link.springer.com/chapter/10.1007/978-3-030-35333-9_46,Product-Focused Software Process Improvement
Empowering Continuous Delivery in Software Development: The DevOps Strategy,Clauirton SiebraRosberg LacerdaItalo CerqueiraJonysberg P. QuintinoFabiana FlorentinFabio B. Q. da SilvaAndre L. M. Santos,2019,Chapter,10.1007/978-3-030-29157-0_11,http://link.springer.com/chapter/10.1007/978-3-030-29157-0_11,Software Technologies
What Are Real JSON Schemas Like?,Benjamin MaiwaldBenjamin RiedleStefanie Scherzinger,2019,Chapter,10.1007/978-3-030-34146-6_9,http://link.springer.com/chapter/10.1007/978-3-030-34146-6_9,Advances in Conceptual Modeling
Generation of Inductive Types from Ecore Metamodels,Jérémy BuissonSeidali Rehab,2019,Chapter,10.1007/978-3-030-11030-7_14,http://link.springer.com/chapter/10.1007/978-3-030-11030-7_14,Model-Driven Engineering and Software Development
Control System Design of Soy Sauce Koji-Making Based on ARM,Min ZhangYuhua WuTing YangShijun Li,2019,Chapter,10.1007/978-3-030-06155-5_19,http://link.springer.com/chapter/10.1007/978-3-030-06155-5_19,Computer and Computing Technologies in Agriculture X
Business Object Centric Microservices Patterns,Adambarage Anuruddha Chathuranga De AlwisAlistair BarrosColin FidgeArtem Polyvyanyy,2019,Chapter,10.1007/978-3-030-33246-4_30,http://link.springer.com/chapter/10.1007/978-3-030-33246-4_30,On the Move to Meaningful Internet Systems: OTM 2019 Conferences
A Domain Specific Language to Support HAZOP Studies of SysML Models,Arut Prakash KaleeswaranPeter MunkSamir SarkicThomas VogelArne Nordmann,2019,Chapter,10.1007/978-3-030-32872-6_4,http://link.springer.com/chapter/10.1007/978-3-030-32872-6_4,Model-Based Safety and Assessment
Complex Systems: On Design and Architecture of Adaptable Dashboards,Dragos Strugar,2019,Chapter,10.1007/978-3-030-29852-4_14,http://link.springer.com/chapter/10.1007/978-3-030-29852-4_14,Software Technology: Methods and Tools
Reuse and Customization for Code Generators: Synergy by Transformations and Templates,Robert EikermannKatrin HölldoblerAlexander RothBernhard Rumpe,2019,Chapter,10.1007/978-3-030-11030-7_3,http://link.springer.com/chapter/10.1007/978-3-030-11030-7_3,Model-Driven Engineering and Software Development
Predicting Web Vulnerabilities in Web Applications Based on Machine Learning,Muhammad Noman KhalidHumera FarooqMuhammad IqbalMuhammad Talha AlamKamran Rasheed,2019,Chapter,10.1007/978-981-13-6052-7_41,http://link.springer.com/chapter/10.1007/978-981-13-6052-7_41,Intelligent Technologies and Applications
Validating Safety Arguments with Lean,Logan MurphyTorin VigerAlessio Di SandroRamy ShahinMarsha Chechik,2021,Chapter,10.1007/978-3-030-92124-8_2,http://link.springer.com/chapter/10.1007/978-3-030-92124-8_2,Software Engineering and Formal Methods
The Lean 4 Theorem Prover and Programming Language,Leonardo de MouraSebastian Ullrich,2021,Chapter,10.1007/978-3-030-79876-5_37,http://link.springer.com/chapter/10.1007/978-3-030-79876-5_37,Automated Deduction – CADE 28
Software Quality Improvement Practices in Continuous Integration,İlgi Keskin KaynakEvren ÇildenSelin Aydin,2019,Chapter,10.1007/978-3-030-28005-5_39,http://link.springer.com/chapter/10.1007/978-3-030-28005-5_39,"Systems, Software and Services Process Improvement"
Lean-Back Machina: Attention-Based Skippable Segments in Interactive Cinema,Niels Erik RaursøMalte Elkær RasmussenMikkel Kappel PerssonTor Arnth PetersenKristinn Bragi GarðarssonHenrik Schoenau-Fog,2021,Chapter,10.1007/978-3-030-92300-6_12,http://link.springer.com/chapter/10.1007/978-3-030-92300-6_12,Interactive Storytelling
Defining Attack Patterns for Industrial Control Systems,Raymond ChanKam-Pui ChowChun-Fai Chan,2019,Chapter,10.1007/978-3-030-34647-8_15,http://link.springer.com/chapter/10.1007/978-3-030-34647-8_15,Critical Infrastructure Protection XIII
Motivational Value of Code.org’s Code Studio Tutorials in an Undergraduate Programming Course,Guillaume NelLiezel Nel,2019,Chapter,10.1007/978-3-030-05813-5_12,http://link.springer.com/chapter/10.1007/978-3-030-05813-5_12,ICT Education
Design and Evaluation of a User-Interface for Authoring Sentences of American Sign Language Animation,Abhishek KannekantiSedeeq Al-khazrajiMatt Huenerfauth,2019,Chapter,10.1007/978-3-030-23560-4_19,http://link.springer.com/chapter/10.1007/978-3-030-23560-4_19,"Universal Access in Human-Computer Interaction. Theory, Methods and Tools"
Superposition with Lambdas,Alexander BentkampJasmin BlanchetteSophie TourretPetar VukmirovićUwe Waldmann,2019,Chapter,10.1007/978-3-030-29436-6_4,http://link.springer.com/chapter/10.1007/978-3-030-29436-6_4,Automated Deduction – CADE 27
Teaching Stratego to Play Ball: Optimal Synthesis for Continuous Space MDPs,Manfred JaegerPeter Gjøl JensenKim Guldstrand LarsenAxel LegaySean SedwardsJakob Haahr Taankvist,2019,Chapter,10.1007/978-3-030-31784-3_5,http://link.springer.com/chapter/10.1007/978-3-030-31784-3_5,Automated Technology for Verification and Analysis
3D SfM as a Measuring Technique for Human Body Transformation,Alessandro MarroStefan WiesenMax LangbeinHans Hagen,2019,Chapter,10.1007/978-3-030-13469-3_18,http://link.springer.com/chapter/10.1007/978-3-030-13469-3_18,"Progress in Pattern Recognition, Image Analysis, Computer Vision, and Applications"
Measuring Ethereum-Based ERC20 Token Networks,Friedhelm VictorBianca Katharina Lüders,2019,Chapter,10.1007/978-3-030-32101-7_8,http://link.springer.com/chapter/10.1007/978-3-030-32101-7_8,Financial Cryptography and Data Security
DataMock: An Agile Approach for Building Data Models from User Interface Mockups,José Matías RiveroJulián GrigeraDamiano DistanteFrancisco MonteroGustavo Rossi,2019,Article,10.1007/s10270-017-0586-9,http://link.springer.com/article/10.1007/s10270-017-0586-9,Software & Systems Modeling
Measuring the effect of clone refactoring on the size of unit test cases in object-oriented software: an empirical study,Mourad BadriLinda BadriOussama HachemaneAlexandre Ouellet,2019,Article,10.1007/s11334-019-00334-6,http://link.springer.com/article/10.1007/s11334-019-00334-6,Innovations in Systems and Software Engineering
A method for testing and validating executable statechart models,Tom MensAlexandre DecanNikolaos I. Spanoudakis,2019,Article,10.1007/s10270-018-0676-3,http://link.springer.com/article/10.1007/s10270-018-0676-3,Software & Systems Modeling
A Blockchain-Enabled Framework for Requirements Traceability,Selina DemiMary Sánchez-GordónRicardo Colomo-Palacios,2021,Chapter,10.1007/978-3-030-85521-5_1,http://link.springer.com/chapter/10.1007/978-3-030-85521-5_1,"Systems, Software and Services Process Improvement"
cvc5: A Versatile and Industrial-Strength SMT Solver,Haniel BarbosaClark BarrettMartin BrainGereon KremerHanna LachnittMakai MannAbdalrhman MohamedMudathir MohamedAina NiemetzAndres NötzliAlex OzdemirMathias PreinerAndrew ReynoldsYing ShengCesare TinelliYoni Zohar,2022,Chapter,10.1007/978-3-030-99524-9_24,http://link.springer.com/chapter/10.1007/978-3-030-99524-9_24,Tools and Algorithms for the Construction and Analysis of Systems
Graph-Based Software Framework for Implementation of Complex Computational Methods,A. P. SokolovA. Yu. Pershin,2019,Article,10.1134/S0361768819050062,http://link.springer.com/article/10.1134/S0361768819050062,Programming and Computer Software
A Survey on the Moving Target Defense Strategies: An Architectural Perspective,Jianjun ZhengAkbar Siami Namin,2019,Article,10.1007/s11390-019-1906-z,http://link.springer.com/article/10.1007/s11390-019-1906-z,Journal of Computer Science and Technology
Managing design-time uncertainty,Michalis FamelisMarsha Chechik,2019,Article,10.1007/s10270-017-0594-9,http://link.springer.com/article/10.1007/s10270-017-0594-9,Software & Systems Modeling
Model-Driven Development of Distributed Ledger Applications,Piero FraternaliSergio Luis Herrera GonzalezMatteo FrigerioMattia Righetti,2022,Chapter,10.1007/978-3-031-11217-1_8,http://link.springer.com/chapter/10.1007/978-3-031-11217-1_8,Database Systems for Advanced Applications. DASFAA 2022 International Workshops
Dimensionality Features Extraction Based-on Multi-scale Neighborhood of Multi-samples UAV Point Clouds,Mirko Saponaro,2021,Chapter,10.1007/978-3-030-87007-2_4,http://link.springer.com/chapter/10.1007/978-3-030-87007-2_4,Computational Science and Its Applications – ICCSA 2021
"Semantic hierarchies for extracting, modeling, and connecting compliance requirements in information security control standards",Matthew L. HaleRose F. Gamble,2019,Article,10.1007/s00766-017-0287-5,http://link.springer.com/article/10.1007/s00766-017-0287-5,Requirements Engineering
Models@run.time: a guided tour of the state of the art and research challenges,Nelly BencomoSebastian GötzHui Song,2019,Article,10.1007/s10270-018-00712-x,http://link.springer.com/article/10.1007/s10270-018-00712-x,Software & Systems Modeling
A Survey on Graph Processing Accelerators: Challenges and Opportunities,Chuang-Yi GuiLong ZhengBingsheng HeCheng LiuXin-Yu ChenXiao-Fei LiaoHai Jin,2019,Article,10.1007/s11390-019-1914-z,http://link.springer.com/article/10.1007/s11390-019-1914-z,Journal of Computer Science and Technology
Simulation of Human Posture Sway Based on Reference Control,Qiuyan ZengMuye PangBiwei TangKui Xiang,2021,Chapter,10.1007/978-3-030-89095-7_60,http://link.springer.com/chapter/10.1007/978-3-030-89095-7_60,Intelligent Robotics and Applications
DEMC: A Deep Dual-Encoder Network for Denoising Monte Carlo Rendering,Xin YangDawei WangWenbo HuLi-Jing ZhaoBao-Cai YinQiang ZhangXiao-Peng WeiHongbo Fu,2019,Article,10.1007/s11390-019-1964-2,http://link.springer.com/article/10.1007/s11390-019-1964-2,Journal of Computer Science and Technology
Stress-testing remote model querying APIs for relational and graph-based stores,Antonio Garcia-DominguezKonstantinos BarmpisDimitrios S. KolovosRan WeiRichard F. Paige,2019,Article,10.1007/s10270-017-0606-9,http://link.springer.com/article/10.1007/s10270-017-0606-9,Software & Systems Modeling
"Modeling compliance specifications in linear temporal logic, event processing language and property specification patterns: a controlled experiment on understandability",Christoph CzepaAmirali AmiriEvangelos NtentosUwe Zdun,2019,Article,10.1007/s10270-019-00721-4,http://link.springer.com/article/10.1007/s10270-019-00721-4,Software and Systems Modeling
"Use, potential, and showstoppers of models in automotive requirements engineering",Grischa LiebelMatthias TichyEric Knauss,2019,Article,10.1007/s10270-018-0683-4,http://link.springer.com/article/10.1007/s10270-018-0683-4,Software & Systems Modeling
Theoretical foundations and implementation of business process diagrams’ complexity management technique based on highlights,Gregor JoštMarjan HeričkoGregor Polančič,2019,Article,10.1007/s10270-017-0618-5,http://link.springer.com/article/10.1007/s10270-017-0618-5,Software & Systems Modeling
Improving user productivity in modeling tools by explicitly modeling workflows,Miguel GamboaEugene Syriani,2019,Article,10.1007/s10270-018-0678-1,http://link.springer.com/article/10.1007/s10270-018-0678-1,Software & Systems Modeling
"Scientific Collaboration, Citation and Topic Analysis of International Conference on Agile Software Development Papers",Muhammad Ovais AhmadPäivi Raulamo-Jurvanen,2020,Chapter,10.1007/978-3-030-37534-8_6,http://link.springer.com/chapter/10.1007/978-3-030-37534-8_6,Advances in Agile and User-Centred Software Engineering
Agile Software Development Practices and Success in Outsourced Projects: The Moderating Role of Requirements Risk,Oliver Krancher,2020,Chapter,10.1007/978-3-030-49392-9_4,http://link.springer.com/chapter/10.1007/978-3-030-49392-9_4,Agile Processes in Software Engineering and Extreme Programming
An Open Source Environment for an Agile Development Model,Paolo CiancariniMarcello MissiroliFrancesco PoggiDaniel Russo,2020,Chapter,10.1007/978-3-030-47240-5_15,http://link.springer.com/chapter/10.1007/978-3-030-47240-5_15,Open Source Systems
Digital Management of Large Building Stocks: BIM and GIS Integration-Based Systems,Mattia MangiaMariangela LazoiGiovanna Mangialardi,2022,Chapter,10.1007/978-3-030-94335-6_10,http://link.springer.com/chapter/10.1007/978-3-030-94335-6_10,Product Lifecycle Management. Green and Blue Technologies to Support Smart and Sustainable Organizations
Onboarding: How Newcomers Integrate into an Agile Project Team,Peggy GregoryDiane E. StrodeRaid AlQaisiHelen SharpLeonor Barroca,2020,Chapter,10.1007/978-3-030-49392-9_2,http://link.springer.com/chapter/10.1007/978-3-030-49392-9_2,Agile Processes in Software Engineering and Extreme Programming
TDDM4IoTS: A Test-Driven Development Methodology for Internet of Things (IoT)-Based Systems,Gleiston Guerrero-UlloaMiguel J. HornosCarlos Rodríguez-Domínguez,2020,Chapter,10.1007/978-3-030-42517-3_4,http://link.springer.com/chapter/10.1007/978-3-030-42517-3_4,Applied Technologies
"Visualization, Monitoring and Control Techniques for Use in Scrum Software Development: An Analytic Hierarchy Process Approach",Nesib TekinMehmet KosaMurat YilmazPaul ClarkeVahid Garousi,2020,Chapter,10.1007/978-3-030-56441-4_4,http://link.springer.com/chapter/10.1007/978-3-030-56441-4_4,"Systems, Software and Services Process Improvement"
Open Source Cloud Platform for Academic Systems Monitoring Software,Rubén NogalesPaul TandazoFranklin MayorgaDavid GuevaraJavier Vargas,2020,Chapter,10.1007/978-3-030-42517-3_34,http://link.springer.com/chapter/10.1007/978-3-030-42517-3_34,Applied Technologies
The Development of Data Collectors in Open-Source System for Energy Efficiency Assessment,Daniel AtongeVladimir IvanovArtem KruglovIlya KhomyakovAndrey SadovykhDragos StrugarGiancarlo SucciXavier Zelada VasquezEvgeny Zouev,2020,Chapter,10.1007/978-3-030-47240-5_2,http://link.springer.com/chapter/10.1007/978-3-030-47240-5_2,Open Source Systems
"How the Cathedral Embraced the Bazaar, and the Bazaar Became a Cathedral",Terhi KilamoValentina LenarduzziTuukka AhoniemiAri JaaksiJurka RahikkalaTommi Mikkonen,2020,Chapter,10.1007/978-3-030-47240-5_14,http://link.springer.com/chapter/10.1007/978-3-030-47240-5_14,Open Source Systems
An Analysis of Automated Technical Debt Measurement,Ilya KhomyakovZufar MakhmutovRuzilya MirgalimovaAlberto Sillitti,2020,Chapter,10.1007/978-3-030-40783-4_12,http://link.springer.com/chapter/10.1007/978-3-030-40783-4_12,Enterprise Information Systems
Examining the Current State of System Testing Methodologies in Quality Assurance,Rafaela SophocleousGeorgia M. Kapitsaki,2020,Chapter,10.1007/978-3-030-49392-9_16,http://link.springer.com/chapter/10.1007/978-3-030-49392-9_16,Agile Processes in Software Engineering and Extreme Programming
Optimizing Parametric Dependencies for Incremental Performance Model Extraction,Sonya VonevaManar MazkatliJohannes GrohmannAnne Koziolek,2020,Chapter,10.1007/978-3-030-59155-7_17,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_17,Software Architecture
"InnoMetrics Dashboard: The Design, and Implementation of the Adaptable Dashboard for Energy-Efficient Applications Using Open Source Tools",Shokhista ErgashevaVladimir IvanovIlya KhomyakovArtem KruglovDragos StrugarGiancarlo Succi,2020,Chapter,10.1007/978-3-030-47240-5_16,http://link.springer.com/chapter/10.1007/978-3-030-47240-5_16,Open Source Systems
A Model and System for Querying Provenance from Data Cleaning Workflows,Nikolaus Nova ParulianTimothy M. McPhillipsBertram Ludäscher,2021,Chapter,10.1007/978-3-030-80960-7_11,http://link.springer.com/chapter/10.1007/978-3-030-80960-7_11,Provenance and Annotation of Data and Processes
Towards Bridging the Value Gap in DevOps,Gail C. MurphyMik Kersten,2020,Chapter,10.1007/978-3-030-39306-9_13,http://link.springer.com/chapter/10.1007/978-3-030-39306-9_13,Software Engineering Aspects of Continuous Development and New Paradigms of Software Production and Deployment
Domain Analysis with TRIZ to Define an Effective “Design for Excellence” Framework,Stelian Brad,2021,Chapter,10.1007/978-3-030-86614-3_34,http://link.springer.com/chapter/10.1007/978-3-030-86614-3_34,Creative Solutions for a Sustainable Development
A Feasibility Study of an Agile and Data-Centric Method for Prototyping Services Based on Open Transport Data,Nicolas FerryAida OmerovicMarit Kjøsnes Natvig,2020,Chapter,10.1007/978-3-030-49432-2_5,http://link.springer.com/chapter/10.1007/978-3-030-49432-2_5,Cloud Computing and Services Science
Design Decisions by Voice: The Next Step of Software Architecture Knowledge Management,Rafael CapillaRodi JolakMichel R. V. ChaudronCarlos Carrillo,2020,Chapter,10.1007/978-3-030-64266-2_10,http://link.springer.com/chapter/10.1007/978-3-030-64266-2_10,Human-Centered Software Engineering
From a Data Science Driven Process to a Continuous Delivery Process for Machine Learning Systems,Lucy Ellen LwakatareIvica CrnkovicEllinor RångeJan Bosch,2020,Chapter,10.1007/978-3-030-64148-1_12,http://link.springer.com/chapter/10.1007/978-3-030-64148-1_12,Product-Focused Software Process Improvement
Applying Distributed Cognition Theory to Agile Requirements Engineering,Jim BuchanDidar ZowghiMuneera Bano,2020,Chapter,10.1007/978-3-030-44429-7_14,http://link.springer.com/chapter/10.1007/978-3-030-44429-7_14,Requirements Engineering: Foundation for Software Quality
“This is Just a Prototype”: How Ethics Are Ignored in Software Startup-Like Environments,Ville VakkuriKai-Kristian KemellMarianna JantunenPekka Abrahamsson,2020,Chapter,10.1007/978-3-030-49392-9_13,http://link.springer.com/chapter/10.1007/978-3-030-49392-9_13,Agile Processes in Software Engineering and Extreme Programming
Design for the Decentralized World: Democratization of Blockchain-Based Software Design,Vladislav GladyshevQiong Wu,2020,Chapter,10.1007/978-3-030-49760-6_5,http://link.springer.com/chapter/10.1007/978-3-030-49760-6_5,"Design, User Experience, and Usability. Design for Contemporary Interactive Environments"
