Title,S1,Authors,Year,Pages,Document Type,DOI,Link,Keywords,Abstract,Source title,Conference name,Conference date,Conference location,Conference code,Sponsors,Cited by,Publication Stage,Open Access
Numerical investigation of the effect of equivalence ratio on the propagation characteristics and performance of rotating detonation engine,,Chen H.; Si C.; Wu Y.; Hu H.; Zhu Y.,2023,,Article,10.1016/j.ijhydene.2023.03.190,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151237296&doi=10.1016%2fj.ijhydene.2023.03.190&partnerID=40&md5=55c5f0876cc59b28d6e5d931844a055c,Discrete inlet; Equivalence ratio; Propagation mode; Rotating detonation wave; Specific impulse; Specific thrust,"The equivalence ratio is one of the significant factors affecting the propagation characteristics and performance of the rotating detonation engine (RDE). Using the compressible reacting flow solver based on the OpenFOAM open-source platform, the effect of different equivalence ratios of premixed H2/Air gases on the propagation characteristics and performance of RDE under different total inlet pressures (P0) is investigated. The reactants are injected through the discrete inlet to mimic the spatial inhomogeneity of the reactants in the actual RDE combustor. The results indicate a Y-shaped flow field structure is formed behind the rotating detonation wave (RDW) using the discrete inlet. There is only one RDW in the flow field with the change of the equivalence ratio when the P0 is 0.5 MPa, and the primary factors affecting the RDW propagation velocity differ under fuel-lean and fuel-rich conditions. The RDW propagation mode switches from single-wave to co-directional double-wave and double-wave collision with the change of the equivalence ratio when the P0 is 1.2 MPa. The velocity deficit of RDW in the double-wave mode is larger than that in the single-wave mode. Additionally, in the single-wave mode, the specific impulse decreases as the equivalence ratio increases, but the specific thrust increases as the equivalence ratio increases. When the propagation mode changes, the specific impulse and specific thrust show different trends with the change of the equivalence ratio. It demonstrates that multiple co-directional RDWs have the effect of stabilizing the thrust. © 2023 Hydrogen Energy Publications LLC",International Journal of Hydrogen Energy,,,,,,0,Article in press,
Best practices on adopting open-source and commercial low-cost devices in small satellites missions,,Di Roberto R.; Brandolini E.; Sparvieri G.; Graziani F.,2023,11,Article,10.1016/j.actaastro.2023.06.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161479420&doi=10.1016%2fj.actaastro.2023.06.001&partnerID=40&md5=bec1d4b6a59fa432ae36111278a08a1f,COTS; CubeSat; OEM; Open-source; Raspberry; UNISAT,"The NewSpace approach of utilizing CubeSats and smaller satellites for complex LEO missions that once were reserved only for bigger platform, paired with the requirement of enduring reliability and quality assurance on batches of tens of satellites, is paving the way for the use of commercial-off-the-shelf (COTS) components in micro-satellite missions. The recent global supply chain issues and extended lead times in the procurement of micro-controllers, memories and passive electronic components, caused by the pandemic and factories shutdowns, have resulted in a forced procurement diversification of several key elements, even in partially assembled products. GAUSS has been designing, manufacturing, and launching Small Satellites since early 2000. Its tenth satellite, UNISAT-7, was launched by a Soyuz-Fregat LV on March 22nd, 2021. Thanks to the vast experience gained on the application of commercial components in all the subsystems developed by the company, the typical overall costs for a complete platform are substantially lower compared to competitors, while retaining similar reliability. UNISAT-7, developed using lean-satellite methodologies, included more than 28 independent subsystems with their own telemetry, and most of them were developed in-house using ground COTS components; no space-grade products were employed, to save on overall mission costs. Some systems were devised from the start using open-source hardware, to expedite the prototyping process, while having the benefit of using readily available software, generally included with these platforms. Raspberry embedded devices were employed on the flight model for two remote sensing systems, to test how such systems, duly adapted to sustain space conditions, may perform and show reliability similar to commercial space systems worth thousand times the value. All systems have been activated and successfully verified for an entire year in LEO. They were hardened for vacuum, extreme temperatures, radiation, and launch stresses using common items found in general hardware stores. This work will delve into the open-source/COTS components used, the process employed to strengthen them, and the programmed flight firmware routines for maximizing embedded devices’ reliability in space. © 2023 IAA",Acta Astronautica,,,,,,0,Final,
ESPE-Chat: An Inclusive Application for People with Hearing Impairment,,Martínez-Cepeda V.; Benavides-Astudillo E.; Castillo-Salinas L.A.; Ortiz-Delgado L.; Cadena-Oyasa J.D.; Merino-Sangoluisa J.I.,2023,12,Conference paper,10.1007/978-3-031-24985-3_35,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148021856&doi=10.1007%2f978-3-031-24985-3_35&partnerID=40&md5=7020502b1aa8003c5ab66023ec555619,Ecuadorian sign language; Hearing disability; Inclusive education; Inclusive web and mobile application,"This project is oriented to the development of a mobile application for people with hearing disabilities, carried out at the Universidad de las Fuerzas Armadas ESPE Sede Santo Domingo de los Tsáchilas. This application breaks the communication barrier between deaf and hearing people, through messages that are translated from text to audio and vice versa. The API used generates text in Spanish from messages sent in real time, a functionality that facilitates communication for people with hearing difficulties, who require visual support to access information, communicate and learn. The Agile SCRUM development methodology was used for the organization of work in blocks of time and the management of software development. In addition, open source development tools were used. Likert scale surveys were used, where the results obtained were that the development of the created mobile application has usability and inclusive accessibility. For the operation of the hybrid application (mobile and web), it is essential to have technological factors such as hardware and software, for its projection on screens of mobile devices with Android operating system or multiplatform computers with access to the web. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.",Communications in Computer and Information Science,"4th International Conference on Applied Technologies, ICAT 2022",23 November 2022 through 25 November 2022,Quito,289849,,0,Final,
"Development of Disaster Information System of the State of Oaxaca, Mexico (SIDEOAX)",,Castro-Leal E.M.; López-Toledo S.; Juárez Chalini S.; Ramírez-Ospitia G.S.,2023,8,Conference paper,10.1007/978-981-19-6347-6_6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144185086&doi=10.1007%2f978-981-19-6347-6_6&partnerID=40&md5=8637954f44581ede60691796e25ba0cb,Decision support; FOSS; GIS; Natural disasters; Real time,"This research relates about the characteristics and benefits of a geographic information system focused on risks and natural disasters for the state of Oaxaca, México (SIDEOAX). The cartographic base of the system was created in software for free Geographic Information Systems gvSIG and Digital Map of Mexico of the National Institute of Statistics and Geography (INEGI). The system for the Web page was developed through database software: SQL Express, development software: Visual Studio Community 2019, the library for building georeferenced systems: MapWinGis and as a programming language: C#. These elements were used along the agile development methodology: SCRUM. The system will be free and open source (Free and Open Source Software—FOSS). The system aims to facilitate the collection of data about natural disasters or natural phenomena in real time, through the participation of users or members of the communities that are present physically during events and, connected to the system. SIDEOAX's level of credibility will be based on the number of records reported about the phenomena. The advantages of software of this nature will also be listed, such as the rapid collection of information on natural disasters compared to other similar tools. In addition, it will be mentioned the importance of using a GIS focused on natural disasters for decision-making by authorities in the state of Oaxaca. © 2023, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","Smart Innovation, Systems and Technologies","International Conference on Communication and Applied Technologies, ICOMTA 2022",7 September 2022 through 9 September 2022,Cuenca,286689,,0,Final,
Towards Developing High Performance RISC-V Processors Using Agile Methodology,,Xu Y.; Yu Z.; Tang D.; Chen G.; Chen L.; Gou L.; Jin Y.; Li Q.; Li X.; Li Z.; Lin J.; Liu T.; Liu Z.; Tan J.; Wang H.; Wang H.; Wang K.; Zhang C.; Zhang F.; Zhang L.; Zhang Z.; Zhao Y.; Zhou Y.; Zhou Y.; Zou J.; Cai Y.; Huan D.; Li Z.; Zhao J.; Chen Z.; He W.; Quan Q.; Liu X.; Wang S.; Shi K.; Sun N.; Bao Y.,2023,8,Article,10.1109/MM.2023.3273562,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159844240&doi=10.1109%2fMM.2023.3273562&partnerID=40&md5=67b203162b7c9c11433398799e0b652b,Analytical models; Behavioral sciences; Chip scale packaging; Hardware; Layout; Microarchitecture; Program processors,"<italic>Agile chip design methodology has shown promise for sustaining the scaling of computing performance more efficiently. However, practical application of this methodology has been limited by major obstacles. This article presents MinJie, an open-source platform supporting agile hardware development flow. We demonstrate the usage and effectiveness of MinJie by building two generations of XiangShan, an open-source RISC-V processor with industry-competitive performance. This article highlights the potential impact of MinJie and XiangShan in advancing the field of agile processor design and development, as well as the potential for open-source collaboration to democratize the field and drive innovation forward.</italic> IEEE",IEEE Micro,,,,,,0,Article in press,
Development of web-based interface for dry-low emission gas turbine using raspberry Pi,,Mochammad F.; Jeremy P.J.; Madiah B.O.; Rosdiazli B.I.,2023,7,Conference paper,10.21741/9781644902516-24,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161624890&doi=10.21741%2f9781644902516-24&partnerID=40&md5=8908f6da982885a2691954fae54a30af,Dry-Low Emission Gas Turbine; HTML; Python; Raspberry Pi; Rowen’s Model; Scilab/XCos,"In recent years, Dry-Low Emission (DLE) mode has been popular in gas turbine applications which can reduce emission production while maintaining high performance by operating the combustion at a low firing temperature. However, this type of combustor is prone to experience trips due to lean blowout occurrences and combustion instability. Dynamic simulation is needed to investigate the system's behavior in mitigating the tripping problem. Therefore, this paper proposed a simulator of the DLE gas turbine using Raspberry Pi, which can be accessed through the local server. Rowen's model is modified to represent the DLE gas turbine system, and its physical model is developed using open-source software, namely Scilab/XCos. The model is then attached to a web-based interface developed using Python and HTML programming language. The deployment of the web-based interface enables the gas turbine model to be accessed remotely without caring about the device's location by connecting the mobile to the same Wi-Fi router. This simulator will help improve the technical know-how of DLE gas turbine operation and can be embedded in the plant control system as a predictive maintenance tool. © 2023, Association of American Publishers. All rights reserved.",Materials Research Proceedings,"International Conference on Sustainable Processes and Clean Energy Transition, ICSuPCET 2022",1 December 2022 through 2 December 2022,Kuching,295119,,0,Final,All Open Access; Hybrid Gold Open Access
CIDFuzz: Fuzz testing for continuous integration,,Zhang J.; Cui Z.; Chen X.; Yang H.; Zheng L.; Liu J.,2023,14,Article,10.1049/sfw2.12125,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152028661&doi=10.1049%2fsfw2.12125&partnerID=40&md5=d6c5ee04a233deade6994e63aa29f3ce,program testing; quality assurance; software quality,"As agile software development and extreme programing have become increasingly popular, continuous integration (CI) has become a widely used collaborative work method. However, it is common to make changes frequently to a project during CI. If existing testing methods are applied to CI directly, it will be difficult to make testing resources focus on changes generated by CI, which results in insufficient testing for changes. To solve this problem, we propose a fuzz testing method for CI. First, differential analysis is performed to determine the change points generated during CI, change points are added to the taint source set, and static analysis is conducted to calculate the distances between each basic block and the taint sources. Then, the project under test is instrumented according to the distances. During fuzz testing, testing resources are allocated based on seed coverage to test the change points effectively. Using the proposed methods, we implement CIDFuzz as a prototype tool, and experiments are conducted on four open-source projects that use CI. Experimental results show that, compared with AFL and AFLGo, CIDFuzz can reduce the time costs of covering change points up to 39.59% and 41.64%, respectively. Also, CIDFuzz can reduce the time costs of reproducing vulnerabilities up to 34.78% and 25.55%. © 2023 The Authors. IET Software published by John Wiley & Sons Ltd on behalf of The Institution of Engineering and Technology.",IET Software,,,,,,0,Final,All Open Access; Gold Open Access
Body Composition Prediction—BOMP: A New Tool for Assessing Fat and Lean Body Mass,,Cichosz S.L.; Vestergaard P.; Hejlesen O.,2023,4,Article,10.1177/19322968221076560,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124722892&doi=10.1177%2f19322968221076560&partnerID=40&md5=21f6b0331a1118c34a9193fb64223345,body composition; diabetes; fat mass; lean body mass; prediction,"Background: Pragmatic and easy-to-use alternatives to estimating body composition, such as lean body mass and fat mass, could be valuable tools for assessing the risk of diabetes or other metabolic diseases. Previous work has shown how demographic and anthropometric data could be used in a neural network to estimate body composition with high precision. However, there is still a need for a publicly available and user-friendly format before these results can have clinical impact. Methods: We used data from 18 430 NHANES participants and stepwise linear regression with inclusion of linear, interactions, and quadratic terms to model lean body and fat mass. HTML and Javascript was used to develop a webapp as a frontend of the model. Results: The models had a correlation cofficent R = 0.99-0.98 (P <.001) withstandard error of estimate [SEE] = 2.07-2.05. Conclusions: The results indicate that it is possible to develop a “white-box” model with high precision. The proof of concept webapp is available as open source under the MIT license. © 2022 Diabetes Technology Society.",Journal of Diabetes Science and Technology,,,,,,1,Final,All Open Access; Green Open Access
dump1030: open-source plug-and-play demodulator&#x002F;decoder for 1030MHz uplink,,Laaksosaari L.; Turtianen H.; Khandker S.; Costin A.,2023,8,Article,10.1109/MAES.2023.3255844,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151342424&doi=10.1109%2fMAES.2023.3255844&partnerID=40&md5=1dc3923bfeb7605b16cbbfd9525680e3,1030MHz; ADS-B; Aircraft; airtraffic; applications; Decoding; Demodulation; experimentation; interrogation; Mode S; open-source; radars; Real-time systems; Surveillance; Transponders; Uplink,"Automatic Dependent Surveillance (ADS), Automatic Dependent Surveillance-Broadcast (ADS-B), Secondary Surveillance Radars (SSR), and Mode S are key air surveillance technologies representing a critical component of next-generation air transportation systems. However, compared to 1090MHz demodulators and decoders, which have plenty of implementations, the 1030MHz uplink receivers are, in general, scarcely, if at all, represented. In this paper, we present the development and evaluation of dump1030 &#x2013; cross-platform plug-and-play open-source implementation for decoding 1030MHz uplink Mode A&#x002F;C&#x002F;S interrogations. We demonstrate and detail an agile development process of building dump1030 by adapting a state-of-the-art dump1090 design and implementation. In our repeated experiments, dump1030 achieves a high detection accuracy of 1030MHz interrogation signals based on lab evaluation using synthetically-generated interrogation signals. We also discuss a handful of practical use cases where dump1030 can find immediate application and implementation, both in research and industrial settings. IEEE",IEEE Aerospace and Electronic Systems Magazine,,,,,,0,Article in press,All Open Access; Green Open Access
Open-Source Software Security Challenges and Policies for Cloud Enterprises,,Gupta S.; Vadlamudi S.,2023,,Conference paper,10.1109/ICCT56969.2023.10076194,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152210992&doi=10.1109%2fICCT56969.2023.10076194&partnerID=40&md5=3e966faeb4d0dbaeefaac5ee88367bc9,Cloud Security; Enterprise Security; Open Source; Open-Source Security Polices,"Cloud computing stimulated the development of agile software. The new oil is software. More than 70-90% of the software is open-source, and its usage is inevitable. Open source encourages innovation through collaboration, reduces Time-To-Market, and fuels breakthrough technologies from the past few decades. In a way, open source is eating software or driving the Software world. Open source communities involve more contributors /developers, sometimes posing substantial security challenges. Recently, we have witnessed SolarWinds compromising the entire supply chain, Log4j allowing access to execute code with critical zero-day vulnerability remotely. The digital universe paused because these zero-day vulnerabilities exploded as an outcome. In this work, we will highlight challenges and propose an approach to help organisations protect the code base by safely consuming the Open Source.  © 2023 IEEE.","2023 3rd International Conference on Intelligent Communication and Computational Techniques, ICCT 2023","3rd International Conference on Intelligent Communication and Computational Techniques, ICCT 2023",19 January 2023 through 20 January 2023,Jaipur,187561,IEEE,0,Final,
