Title,S1,Authors,Year,Pages,Document Type,DOI,Link,Keywords,Abstract,Citation Count,Reference Count,Online Date,Date Added To Xplore,Publication Title
Bulut Üzerinde DevOps Mimarisi DevOps Architecture in the Cloud,,Y. Demiral; N. Çarkacı; U. Çekmez,2019,3,IEEE Conferences,10.1109/SIU.2019.8806433,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8806433,DevOps;Agile Development;Continuous Integration;Cloud Computing;Container;Microservices,"Developing technology and information systems have gained a great place in our lives and the importance of scalable software, cloud computing and distributed architectures has increased. With these developments, the necessity of providing seamless service of development and operational processes, monitoring and auto-management of these complex architectures has born. Thus, the DevOps concept aiming to conduct both software projects in an automatic & seamless way and cooperation between the developer teams has emerged. In recent years, conducting DevOps pipeline consisting of software planning, coding, compilation, versioning, testing, publishing and managing have been implemented on cloud technologies to create better performance and fault tolerant structure. In this study, agile development, continuous integration and gradual operation of delivery processes for containerized technologies are implemented and evaluated on OpenStack, one of the private open source cloud infrastructures, with respect to DevOps principles.",,,22-Aug-19,22-Aug-19,2020 IEEE International Parallel and Distributed Processing Symposium Workshops (IPDPSW)
SoReady: An Extension of the Test and Defect Coverage-Based Analytics Model for Pull-Based Software Development,,S. M. Syed-Mohamad; N. S. Md. Akhir,2019,5,IEEE Conferences,10.1109/APSEC48747.2019.00011,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8945520,"Pull based software development, agile, software release readiness, pull requests, test coverage, defect coverage, metrics, test analytics.","Pull-based software development is a distributed development model that offers an opportunity to review a pull request before it gets merged into the main repository. A pull request addresses new features, bug fixing, and maintenance issues submitted by both integrators or contributors. It appears that many empirical studies are conducted to discover how pull request evaluation is done, and to our knowledge, limited research exists for assessing release readiness of pull requests. Studies also reported that the failure rate of pull-requests rapidly increases when there are many forks created. It is therefore, questions worth exploring are whether the code review really contributing to the code quality, and how to determine the release readiness of pull requests? In our previous work, test and defect coverage-based analytics model (TDCAM) has been proven to be suitable to determine the readiness of releases for software that is rapidly evolving, in which this is also a characteristic of pull-based software development. In this paper, the TDCAM has been extended to include pull request coverage indicators. The proposed model, namely as SoReady and the visualization analysis presented herein has enabled five developers in a commercial setting to make informed and evidence-based decisions regarding the test status of each pull request and overall reliability of an open source software through a prototype dashboard.",1,15,2 jan. 2020,2 jan. 2020,2020 14th International Conference on Open Source Systems and Technologies (ICOSST)
Towards Developing High Performance RISC-V Processors Using Agile Methodology,,Y. Xu; Z. Yu; D. Tang; G. Chen; L. Chen; L. Gou; Y. Jin; Q. Li; X. Li; Z. Li; J. Lin; T. Liu; Z. Liu; J. Tan; H. Wang; H. Wang; K. Wang; C. Zhang; F. Zhang; L. Zhang; Z. Zhang; Y. Zhao; Y. Zhou; Y. Zhou; J. Zou; Y. Cai; D. Huan; Z. Li; J. Zhao; Z. Chen; W. He; Q. Quan; X. Liu; S. Wang; K. Shi; N. Sun; Y. Bao,2022,21,IEEE Conferences,10.1109/MICRO56248.2022.00080,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9923860,agile development;open-source hardware;microarchitecture,"While research has shown that the agile chip design methodology is promising to sustain the scaling of computing performance in a more efficient way, it is still of limited usage in actual applications due to two major obstacles: 1) Lack of tool-chain and developing framework supporting agile chip design, especially for large-scale modern processors. 2) The conventional verification methods are less agile and become a major bottleneck of the entire process. To tackle both issues, we propose MINJIE, an open-source platform supporting agile processor development flow. MINJIE integrates a broad set of tools for logic design, functional verification, performance modelling, pre-silicon validation and debugging for better development efficiency of state-of-the-art processor designs. We demonstrate the usage and effectiveness of MINJIE by building two generations of an open-source superscalar out-of-order RISC-V processor code-named XIANGSHAN using agile methodologies. We quantify the performance of XIANGSHAN using SPEC CPU2006 benchmarks and demonstrate that XIANGSHAN achieves industry-competitive performance.",,115,26-Oct-22,26-Oct-22,2022 55th IEEE/ACM International Symposium on Microarchitecture (MICRO)
An Innovative Approach to Modeling VIPER Rover Software Life Cycle Cost,,S. Stukes; M. Allan; G. Bajjalieh; M. Deans; T. Fong; J. Hihn; H. Utz,2021,15,IEEE Conferences,10.1109/AERO50100.2021.9438347,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9438347,software cost estimation;software sizing;software estimating methodologies;parametric modeling;independent cost estimate;flight software;Lunar rover,"NASA's “Volatiles Investigating Polar Exploration Rover” (VIPER) will be the first robotic mission to prospect for water ice near the south pole of the Moon in late 2023 on a 100-Earth-day mission. The information that the VIPER rover provides will help improve understanding of the composition, distribution, and accessibility of Lunar polar volatiles and will help determine how the Moon's resources can support future human space exploration. VIPER, however, represents a radical departure from the way that NASA has traditionally developed planetary robotic missions. A key consequence of these differences is that estimating the cost of VIPER's rover software is challenging and complex. For example, VIPER is being developed using management procedures typically applied to NASA research and technology projects, rather than space flight programs. In addition, key portions of the rover's software are being designed as ground software to run on mission control computers (rather than onboard the rover as flight software as with prior planetary missions) taking advantage of continuous, interactive data communications between the Moon and Earth and higher performance computing available on the ground. Moreover, the rover's software is being engineered using Agile software development practices and incorporates a significant amount of open-source code, rather than following traditional (spiral, waterfall, etc.) development methods and in-house code. In this paper, we present an innovative process to estimate the life cycle cost of VIPER's rover software. We first describe how we modeled the architecture and code counts for three software elements: Rover Flight Software (RFSW), Rover Ground Software (RGSW), and Rover Simulation Software (RSIM). We then discuss key challenges and unique aspects of our approach, such as the lack of Lunar rover analogies, the need to integrate and test large open source software, and the strategies developed to account for use of non-space flight management practices and the impact of the COVID-19 pandemic. We conclude with a summary of our results, including cumulative distribution, nearest neighbors and cluster analysis, as well as heuristics used to confirm the reasonableness of the cost estimate.",1,15,7 jun. 2021,7 jun. 2021,2021 IEEE Aerospace Conference (50100)
A Game Plan to Build Optimized Regression Testing in Agile Methodologies Using Test Prioritization,,N. Govil; A. Sharma,2021,3,IEEE Conferences,10.1109/ISCON52037.2021.9702479,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9702479,Agile Methodologies;Automated Regression Testing;Test Prioritization;Risk-based Approach;Collaborative Approach,"Substantially, every software system is not completely bug-free. However, software industries usually apply a lot of convincing strategies to ensure the delivery of bug-free software products. Due to the iterative and incremental nature of Agile projects, testing activities are simultaneously organized by the Scrum Masters along with the routine development exercises. Regression testing is such type of testing technique that is performed to corroborate and ensure the impact of any new code in the existing modules of the software product. Proper optimization practices can reduce the efforts and time required to conduct Regression Testing. Although, it is quite challenging to optimize regression testing activities. So there is a need to implement an automotive regression testing mechanism that is based on associated risks and test prioritization to reduce the testing time and effort of testing engineers. In this research paper, we discussed the challenges and strategies to develop optimized regression testing in Agile methodologies. By adopting this mechanism, professionals can reduce their testing effort and time while developing Agile software products to a great extent.",,16,14-Feb-22,14-Feb-22,2021 5th International Conference on Information Systems and Computer Networks (ISCON)
Towards Predicting the Impact of Software Changes on Building Activities,,M. Tufano; H. Sajnani; K. Herzig,2019,3,IEEE Conferences,10.1109/ICSE-NIER.2019.00021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8805697,software building;predictive models,"The pervasive adoption of Continuous Integration practices - both in industry and open source projects - has led software building to become a daily activity for thousands of developers around the world. Companies such as Microsoft have invested in in-house infrastructures with the goal of optimizing the build process. CloudBuild, a distributed and caching build service developed internally by Microsoft, runs the build process in parallel in the cloud and relies on caching to accelerate builds. This allows for agile development and rapid delivery of software even several times a day. However, moving towards faster builds requires not only improvements on the infrastructure side, but also attention to developers' changes in the software. Surely, architectural decisions and software changes, such as addition of dependencies, can lead to significant build time increase. Yet, estimating the impact of such changes on build time can be challenging when dealing with complex, distributed, and cached build systems. In this paper, we envision a predictive model able to preemptively alert developers on the extent to which their software changes may impact future building activities. In particular, we describe an approach that analyzes the developer's change and predicts (i) whether it impacts (any of) the Longest Critical Path; (ii) may lead to build time increase and its delta; and (iii) the percentage of future builds that might be affected by such change.",8,10,22-Aug-19,22-Aug-19,2019 IEEE International Conference on Software Maintenance and Evolution (ICSME)
A Mixed Reality Teaching Course for Formal Higher Education,,B. Hensen; R. Klamma,2022,4,IEEE Conferences,10.23919/iLRN55037.2022.9815961,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9815961,mixed reality;augmented reality;education;curriculum;workplace training,"The advancements of mixed reality technologies enable a productive application of mixed reality in various fields. This increases the demand for skilled mixed reality developers. Current curricula do not offer dedicated mixed reality courses in higher education that provide the necessary competences. We demonstrate a lab course for mixed reality software engineering in a bachelor program at a technical university with its learning goals and the identified skills to support future mixed reality computer scientists. The course was conducted five times over two and a half years with a total of 38 students. In all instances, the same open-source software project was used as a boundary object to train agile software engineering, mixed reality development competences, and presentation skills. As the course teaches state-of-the-art agile workflows, its aim is to prepare students for scientific projects, a bachelor thesis and industry training scenarios in mixed reality.",,15,11 jul. 2022,11 jul. 2022,2022 8th International Conference of the Immersive Learning Research Network (iLRN)
Work in Progress: Development of a web-based educational robotics learning monitoring system using free software,,J. Galindo-Losada; C. Balcazar; M. Carrión-Toro; M. Santórum,2023,3,IEEE Conferences,10.1109/EDUNINE57531.2023.10102878,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10102878,framework;web application;monitoring;emotions;usability;robotics;assessment;free software,"Educational robotics encompasses the integration of robotics into educational processes for educational purposes. An example of educational robotics is Lego Education WeDo 2.0, whose workshops include Exploration, Creation, and Sharing phases. Students build and design robots based on instructions to achieve goals. However, all the gathered information of the students during the workshops is not stored and published in a web system. Thus, workshop information is not delivered to teachers in a web manner to monitor students' learning. Since this, a web-based system has been developed to track such experiences. It allows the monitoring and control of student performance at each stage of the learning process based on a non-intrusive method to capture information, such as detecting emotions through a webcam. A Scrum methodology is used, which allows user stories definition. Usability assessment with 17 experts shows an overall score of 88.30 percent.",,13,21-Apr-23,21-Apr-23,2023 IEEE World Engineering Education Conference (EDUNINE)
Learning to Identify Security-Related Issues Using Convolutional Neural Networks,,D. N. Palacio; D. McCrystal; K. Moran; C. Bernal-Cárdenas; D. Poshyvanyk; C. Shenefiel,2019,4,IEEE Conferences,10.1109/ICSME.2019.00024,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8919098,deep learning;cnn;security issues;sdl,"Software security is becoming a high priority for both large companies and start-ups alike due to the increasing potential for harm that vulnerabilities and breaches carry with them. However, attaining robust security assurance while delivering features requires a precarious balancing act in the context of agile development practices. One path forward to help aid development teams in securing their software products is through the design and development of security-focused automation. Ergo, we present a novel approach, called SecureReqNet, for automatically identifying whether issues in software issue tracking systems describe security-related content. Our approach consists of a two-phase neural net architecture that operates purely on the natural language descriptions of issues. The first phase of our approach learns high dimensional word embeddings from hundreds of thousands of vulnerability descriptions listed in the CVE database and issue descriptions extracted from open source projects. The second phase then utilizes the semantic ontology represented by these embeddings to train a convolutional neural network capable of predicting whether a given issue is security-related. We evaluated SecureReqNet by applying it to identify security-related issues from a dataset of thousands of issues mined from popular projects on GitLab and GitHub. In addition, we also applied our approach to identify security-related requirements from a commercial software project developed by a major telecommunication company. Our preliminary results are encouraging, with SecureReqNet achieving an accuracy of 96% on open source issues and 71.6% on industrial requirements.",11,24,05-Dec-19,05-Dec-19,2020 IEEE Green Technologies Conference(GreenTech)
An open-source framework for cross-platform testing in agile projects,,I. Yanjari; B. Marín; G. Giachetti,2022,7,IEEE Conferences,10.1109/SCCC57464.2022.10000346,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10000346,Testing;Framework;Agile Methodologies;BDD;Cross-Platform;Acceptance test cases,"Agile methodologies have become popular in the software development industry because they improve the interaction among stakeholders, developers and project managers by achieving development results through shorter delivery times. One of the main problem with agile methodologies is the quality and the quantity of testing tasks to be performed, which in many cases are focused on unitary testing. This causes different issues for agile projects at the integration of sub-systems or the acceptance of the products developed. Continuous integration (CI) technique is commonly used to avoid some integration problems because it improves the validation of the software products by means of the automatic execution of different test cases at the moment of updating a software product located in a version control platform. Nevertheless, these test cases are manly focused on unitary testing and they are created for specific platforms. This paper presents an open source framework to improve continuous integration in order to execute acceptance test cases automatically. In particular, we use Behavioral Driven Development (BDD) to create the test cases that can be used with web and mobile drivers for different platforms. The framework proposed has been evaluated obtaining promising results.",,12,4 jan. 2023,4 jan. 2023,2022 41st International Conference of the Chilean Computer Science Society (SCCC)
When You Have More Satellites than People: The Evolution of CYGNSS Flight Operations,,R. Medina; J. Redfern; W. Wells; E. Birath; D. Lamb; A. Alexander; T. Ewing,2019,10,IEEE Conferences,10.1109/AERO.2019.8741926,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8741926,,"The flight operations of the Cyclone Global Navigation Satellite System (CYGNSS), a constellation of eight microsatellites built and operated by Southwest Research Institute (SwRI), designed to improve the intensity forecasts of Tropical Cyclones, has seen a litany of changes to its concept of operations, software, processes, and personnel. In this paper, we detail how the operations team responded to several challenges such as the reduction in personnel after the Launch and Early Orbit Operations phase, the addition of a downlink antenna in Japan, high-fidelity collection requests during the unusually active 2017 Atlantic hurricane season, and the increased demands of team members from other projects. These pressures forced the CYGNSS operations team to innovate their way to efficient operations. These innovations were enabled by embracing modern open-source tools such as Django, Bokeh, Git, the various libraries available in the Python programming language, and the capabilities that come with all of our operations engineers being competent in software development. The CYGNSS team took the approach of automating the most time-intensive tasks first, which freed up time to carefully design and test more elaborate automation solutions. We utilized the spirit of the Agile Methodology to make incremental improvements to our software suite which further enabled more sophisticated automation. Finally, we chart a path forward to fully closing the automation loop between our mission planning, and real-time Command and Control.",,7,20 jun. 2019,20 jun. 2019,2020 International Workshop on Rapid System Prototyping (RSP)
Continuous Testing in the Development of IoT Applications,,L. G. Guşeilă; D. -V. Bratu; S. -A. Moraru,2019,5,IEEE Conferences,10.1109/ISSI47111.2019.9043692,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9043692,IoT;Cloud Computing;Agile Development;DevOps;Continuous Integration;Continuous Development;Continuous Testing;Automated Testing,"Internet-of-Things has evolved with the increased volume of data of interconnecting the physical world to the Internet. Cloud provides the underlying power for IoT to become a disrupting technology, revolutionizing the cloud, as we know it. IoT applications need to adapt frequently and rapidly to new requests. Increasing competition and rapidly changing market needs require from nowadays companies' flexibility and fast time to market of their products. To achieve these goals more and more organizations are relying on new IT technologies and software development processes. Though there are many publications around DevOps as a methodology and the use of a process for continuous integration and continuous development, there are fewer solutions provided which incorporate a software delivery pipeline incorporating all processes: continuous business planning, agile development, continuous integration, continuous deployment and continuous testing. The paper proposes a DevOps architecture and agile tools to be used in the implementation of a fully integrated DevOps pipeline based on open-source. Furthermore, continuous testing is covering test best practices and methods, which along with the DevOps pipeline can be widely implemented in any cloud environment, regardless of the cloud provider chosen.",1,13,23 mar. 2020,23 mar. 2020,2020 25th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA)
One Block on Top of the Other: Using Minetest to Teach Scrum,,J. -P. Steghöfer; H. Burden,2022,10,IEEE Conferences,10.1145/3510456.3514157,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9794186,• Software and its engineering → Agile software development;;• Social and professional topics → Adult education.,"Teaching Scrum using Lego has been an established teaching technique for years. However, the COVID-19 pandemic forced teachers all over the globe to rethink this valuable teaching tool. In this experience report, we show how we transferred our version of a Lego Scrum workshop into the world of Minetest, an open-source variant of Minecraft. We detail our reasoning, the concrete technical and pedagogical challenges, as well as experiences and reflections from the students, us as teachers, our peers, and theoretical frameworks. Finally, we share our materials to enable other teachers to use this new tool.",,66,13 jun. 2022,13 jun. 2022,2022 IEEE/ACM 44th International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET)
